time,close - BTC-USD,low - BTC-USD,high - BTC-USD,close - ETH-USD,low - ETH-USD,high - ETH-USD
2017-01-01 01:00:00,970.49,968.21,972.0,8.3,8.25,8.3
2017-01-01 02:00:00,967.95,967.0,971.99,8.47,8.3,8.53
2017-01-01 03:00:00,968.14,967.57,969.47,8.59,8.45,8.6
2017-01-01 04:00:00,968.1,966.64,968.62,8.53,8.49,8.6
2017-01-01 05:00:00,966.92,964.37,968.1,8.38,8.34,8.54
2017-01-01 06:00:00,969.45,964.54,969.63,8.49,8.36,8.49
2017-01-01 07:00:00,969.47,968.54,970.56,8.41,8.39,8.49
2017-01-01 08:00:00,969.15,968.11,969.58,8.41,8.35,8.44
2017-01-01 09:00:00,970.38,968.6,970.68,8.38,8.35,8.43
2017-01-01 10:00:00,974.99,969.79,974.99,8.2,8.16,8.42
2017-01-01 11:00:00,975.0,974.98,975.0,8.23,8.2,8.26
2017-01-01 12:00:00,974.56,974.01,975.0,8.23,8.2,8.26
2017-01-01 13:00:00,977.99,974.31,977.99,8.39,8.23,8.39
2017-01-01 14:00:00,979.99,977.58,979.99,8.35,8.3,8.39
2017-01-01 15:00:00,979.99,979.01,979.99,8.42,8.31,8.42
2017-01-01 16:00:00,994.79,977.63,994.97,8.37,8.31,8.44
2017-01-01 17:00:00,994.42,993.0,994.8,8.33,8.24,8.37
2017-01-01 18:00:00,997.12,994.49,999.68,8.36,8.3,8.37
2017-01-01 19:00:00,994.92,993.7,997.11,8.33,8.31,8.37
2017-01-01 20:00:00,1000.0,993.76,1000.0,8.2,8.16,8.35
2017-01-01 21:00:00,997.22,992.04,1000.0,8.12,8.08,8.19
2017-01-01 22:00:00,998.0,990.0,998.0,8.11,8.09,8.17
2017-01-01 23:00:00,992.95,986.86,998.99,8.18,8.09,8.2
2017-01-02 00:00:00,995.48,992.86,997.99,8.17,8.15,8.2
2017-01-02 01:00:00,997.71,990.52,997.71,8.19,8.09,8.21
2017-01-02 02:00:00,1002.0,997.39,1002.0,8.14,8.13,8.22
2017-01-02 03:00:00,1009.63,1000.01,1011.78,8.18,8.05,8.21
2017-01-02 04:00:00,1009.62,1005.43,1010.7,8.15,8.11,8.18
2017-01-02 05:00:00,1003.64,1000.0,1012.0,8.13,8.06,8.18
2017-01-02 06:00:00,1009.65,1002.92,1010.99,8.16,8.11,8.16
2017-01-02 07:00:00,1012.25,1007.35,1012.25,8.18,8.12,8.2
2017-01-02 08:00:00,1012.03,1009.33,1013.0,8.18,8.09,8.19
2017-01-02 09:00:00,1015.0,1005.7,1015.0,8.18,8.15,8.18
2017-01-02 10:00:00,1015.79,1010.65,1019.1,8.18,8.16,8.19
2017-01-02 11:00:00,1024.84,1015.43,1024.95,8.1,8.1,8.19
2017-01-02 12:00:00,1024.99,1021.7,1025.0,8.16,8.06,8.19
2017-01-02 13:00:00,1018.16,1005.3,1025.0,8.18,8.15,8.2
2017-01-02 14:00:00,1024.31,1011.34,1024.54,8.21,8.18,8.24
2017-01-02 15:00:00,1026.98,1015.05,1028.0,8.29,8.17,8.3
2017-01-02 16:00:00,1029.95,1023.2,1034.39,8.45,8.27,8.45
2017-01-02 17:00:00,1021.88,1015.81,1030.0,8.46,8.42,8.53
2017-01-02 18:00:00,1018.41,1018.0,1029.0,8.41,8.37,8.47
2017-01-02 19:00:00,1001.01,997.2,1019.58,8.24,8.24,8.41
2017-01-02 20:00:00,1012.98,991.69,1014.0,8.37,8.22,8.38
2017-01-02 21:00:00,1012.2,1006.6,1017.79,8.39,8.3,8.43
2017-01-02 22:00:00,1013.8,1011.31,1019.67,8.38,8.35,8.44
2017-01-02 23:00:00,1011.45,1011.45,1019.99,8.38,8.31,8.42
2017-01-03 00:00:00,1020.74,1009.29,1023.3,8.37,8.3,8.42
2017-01-03 01:00:00,1019.01,1012.61,1022.99,8.3,8.24,8.37
2017-01-03 02:00:00,1022.97,1012.9,1023.0,8.32,8.28,8.36
2017-01-03 03:00:00,1024.09,1016.65,1029.85,8.37,8.3,8.37
2017-01-03 04:00:00,1022.36,1017.42,1024.1,8.37,8.31,8.37
2017-01-03 05:00:00,1018.8,1015.03,1027.93,8.39,8.35,8.42
2017-01-03 06:00:00,1013.16,1011.5,1024.47,8.41,8.38,8.44
2017-01-03 07:00:00,1019.37,1006.71,1019.37,8.51,8.39,8.51
2017-01-03 08:00:00,1012.02,1012.0,1019.8,8.47,8.47,8.55
2017-01-03 09:00:00,1010.97,1010.0,1019.3,8.51,8.43,8.52
2017-01-03 10:00:00,1014.94,1009.08,1016.99,8.53,8.48,8.56
2017-01-03 11:00:00,1019.82,1014.48,1023.95,8.57,8.47,8.62
2017-01-03 12:00:00,1018.8,1017.0,1025.75,8.56,8.52,8.6
2017-01-03 13:00:00,1015.0,1013.5,1020.0,8.61,8.53,8.62
2017-01-03 14:00:00,1014.34,1013.26,1019.0,8.84,8.59,8.85
2017-01-03 15:00:00,1016.97,1010.3,1019.78,9.32,8.83,9.45
2017-01-03 16:00:00,1017.86,1015.78,1018.56,9.27,9.23,9.45
2017-01-03 17:00:00,1019.97,1016.8,1019.99,9.55,9.27,9.6
2017-01-03 18:00:00,1023.96,1018.76,1026.43,9.84,9.52,9.86
2017-01-03 19:00:00,1018.25,1014.0,1024.0,9.97,9.76,10.02
2017-01-03 20:00:00,1025.82,1018.25,1027.83,9.5,9.31,9.98
2017-01-03 21:00:00,1024.46,1020.0,1028.51,9.66,9.45,9.67
2017-01-03 22:00:00,1028.54,1022.86,1032.0,9.76,9.57,9.83
2017-01-03 23:00:00,1020.67,1018.18,1036.99,9.59,9.58,9.85
2017-01-04 00:00:00,1036.55,1018.0,1039.33,9.69,9.34,9.72
2017-01-04 01:00:00,1038.99,1036.77,1040.0,9.67,9.6,9.71
2017-01-04 02:00:00,1041.57,1038.99,1047.99,10.11,9.65,10.11
2017-01-04 03:00:00,1046.74,1041.19,1047.82,10.33,10.1,10.54
2017-01-04 04:00:00,1048.23,1045.05,1054.97,10.43,10.32,10.55
2017-01-04 05:00:00,1062.96,1047.25,1065.0,10.48,10.36,10.57
2017-01-04 06:00:00,1062.53,1055.65,1063.0,10.4,10.31,10.5
2017-01-04 07:00:00,1062.92,1061.74,1065.0,10.48,10.35,10.49
2017-01-04 08:00:00,1060.01,1057.85,1065.0,10.63,10.4,10.66
2017-01-04 09:00:00,1070.0,1058.09,1070.0,10.81,10.58,10.83
2017-01-04 10:00:00,1079.99,1069.99,1079.99,10.84,10.65,10.92
2017-01-04 11:00:00,1084.62,1075.18,1090.0,10.71,10.64,10.88
2017-01-04 12:00:00,1094.91,1075.15,1096.68,10.89,10.64,10.9
2017-01-04 13:00:00,1094.99,1080.01,1095.71,10.75,10.6,10.96
2017-01-04 14:00:00,1089.41,1065.0,1095.66,10.6,10.34,10.75
2017-01-04 15:00:00,1087.64,1085.51,1094.49,10.8,10.56,10.85
2017-01-04 16:00:00,1103.58,1087.1,1107.75,10.83,10.65,10.87
2017-01-04 17:00:00,1137.0,1100.01,1138.0,10.79,10.7,10.87
2017-01-04 18:00:00,1139.01,1131.09,1147.0,10.85,10.7,10.88
2017-01-04 19:00:00,1124.62,1110.01,1139.5,10.72,10.7,10.9
2017-01-04 20:00:00,1090.04,1090.01,1136.5,10.87,10.7,10.88
2017-01-04 21:00:00,1090.72,1067.0,1110.0,10.72,10.54,10.83
2017-01-04 22:00:00,1136.1,1090.5,1136.14,10.84,10.62,10.87
2017-01-04 23:00:00,1130.3,1120.34,1143.89,11.17,10.83,11.17
2017-01-05 00:00:00,1090.57,1080.0,1134.88,11.26,11.11,11.55
2017-01-05 01:00:00,1120.32,1076.12,1125.0,11.41,10.94,11.49
2017-01-05 02:00:00,1126.5,1110.0,1126.5,11.36,11.26,11.43
2017-01-05 03:00:00,1139.89,1125.86,1139.9,11.31,11.25,11.53
2017-01-05 04:00:00,1146.77,1139.01,1146.77,11.51,11.26,11.53
2017-01-05 05:00:00,1163.01,1146.77,1175.0,11.68,11.48,11.79
2017-01-05 06:00:00,1157.89,1150.0,1174.9,11.69,11.56,11.8
2017-01-05 07:00:00,1167.4,1153.39,1172.13,11.61,11.6,11.77
2017-01-05 08:00:00,1141.01,1131.05,1168.99,11.14,11.14,11.67
2017-01-05 09:00:00,1074.33,1035.52,1141.01,10.76,10.5,11.16
2017-01-05 10:00:00,1092.91,1070.0,1114.17,10.55,10.02,10.92
2017-01-05 11:00:00,1100.99,1089.82,1116.4,10.67,10.42,10.69
2017-01-05 12:00:00,981.22,965.0,1100.8,10.04,9.86,10.7
2017-01-05 13:00:00,970.0,880.0,1000.0,9.59,9.08,10.04
2017-01-05 14:00:00,960.0,940.06,972.99,9.76,9.37,9.95
2017-01-05 15:00:00,995.49,951.94,1004.93,10.22,9.68,10.6
2017-01-05 16:00:00,966.82,946.51,1008.9,9.89,9.67,10.39
2017-01-05 17:00:00,976.97,958.55,977.0,10.07,9.75,10.2
2017-01-05 18:00:00,994.34,967.01,999.0,10.21,10.01,10.5
2017-01-05 19:00:00,970.22,955.77,996.45,10.12,9.8,10.28
2017-01-05 20:00:00,974.98,960.0,980.71,10.19,10.02,10.25
2017-01-05 21:00:00,969.87,961.84,975.0,10.1,10.0,10.19
2017-01-05 22:00:00,1015.09,969.88,1017.78,10.3,10.09,10.3
2017-01-05 23:00:00,1007.0,982.0,1023.48,10.23,10.12,10.47
2017-01-06 00:00:00,1023.8,1000.5,1027.59,10.38,10.18,10.42
2017-01-06 01:00:00,1020.43,1017.75,1033.85,10.45,10.35,10.46
2017-01-06 02:00:00,962.19,960.1,1023.0,9.91,9.91,10.43
2017-01-06 03:00:00,982.0,960.1,986.98,10.1,9.9,10.21
2017-01-06 04:00:00,975.8,974.28,984.4,10.07,9.97,10.1
2017-01-06 05:00:00,982.38,970.9,988.5,10.18,10.03,10.25
2017-01-06 06:00:00,983.47,972.58,987.36,10.22,10.17,10.29
2017-01-06 07:00:00,983.06,981.28,988.5,10.39,10.22,10.43
2017-01-06 08:00:00,960.44,955.0,985.37,10.22,10.09,10.45
